source,target,tgt_lng
"real interest rate","实际利率","zh"
"aggregate demand","总需求","zh"
"aggregate supply","总供给","zh"
"business cycle","经济周期","zh"
"quantitative easing","量化宽松","zh"
"balance of payments","国际收支","zh"
"current account","经常账户","zh"
"omitted variable bias","遗漏变量偏误","zh"
"instrument relevance","工具变量相关性","zh"
"exclusion restriction","排除性约束","zh"
"parallel trends","平行趋势","zh"
"average treatment effect","平均处理效应","zh"
"two-stage least squares","两阶段最小二乘法","zh"
"generalized method of moments","广义矩估计","zh"
"potential output","潜在产出","zh"
"NAIRU","非加速通胀失业率","zh"
"Taylor rule","泰勒规则","zh"
"policy rate","政策利率","zh"
"money supply","货币供应量","zh"
"money multiplier","货币乘数","zh"
"fiscal multiplier","财政乘数","zh"
"marginal propensity to consume","边际消费倾向","zh"
"automatic stabilizer","自动稳定器","zh"
"exchange rate pass-through","汇率传递","zh"
"real effective exchange rate","实际有效汇率","zh"
"terms of trade","贸易条件","zh"
"capital account","资本账户","zh"
"labor force participation rate","劳动参与率","zh"
"Okun's law","奥肯定律","zh"
"IS-LM model","IS–LM 模型","zh"
"marginal cost","边际成本","zh"
"average cost","平均成本","zh"
"economies of scale","规模经济","zh"
"diseconomies of scale","规模不经济","zh"
"market failure","市场失灵","zh"
"externality","外部性","zh"
"public good","公共品","zh"
"common-pool resource","公共池塘资源","zh"
"adverse selection","逆向选择","zh"
"moral hazard","道德风险","zh"
"principal-agent problem","委托–代理问题","zh"
"liquidity trap","流动性陷阱","zh"
"zero lower bound","零利率下限","zh"
"effective lower bound","有效下限","zh"
"forward guidance","前瞻指引","zh"
"crowding-out effect","挤出效应","zh"
"Ricardian equivalence","李嘉图等价","zh"
"sovereign debt","主权债务","zh"
"debt-to-GDP ratio","债务占 GDP 比率","zh"
"primary balance","初级财政余额","zh"
"trade balance","贸易差额","zh"
"exchange rate regime","汇率制度","zh"
"capital control","资本管制","zh"
"currency appreciation","货币升值","zh"
"currency depreciation","货币贬值","zh"
"total factor productivity","全要素生产率","zh"
"headline inflation","总体通胀","zh"
"core inflation","核心通胀","zh"
"inflation expectations","通胀预期","zh"
"breakeven inflation rate","盈亏平衡通胀率","zh"
"demand-pull inflation","需求拉动型通胀","zh"
"cost-push inflation","成本推动型通胀","zh"
"wage-price spiral","工资–价格螺旋","zh"
"primary surplus","初级财政盈余","zh"
"fiscal deficit","财政赤字","zh"
"debt sustainability","债务可持续性","zh"
"current account deficit","经常账户赤字","zh"
"twin deficits","双赤字","zh"
"impossible trinity","不可能三角","zh"
"uncovered interest parity","无抛补利率平价","zh"
"covered interest parity","抛补利率平价","zh"
"Fisher equation","费雪方程","zh"
"real exchange rate","实际汇率","zh"
"nominal effective exchange rate","名义有效汇率","zh"
"capital flight","资本外逃","zh"
"foreign direct investment","外国直接投资","zh"
"portfolio investment","证券投资","zh"
"dynamic stochastic general equilibrium model","动态随机一般均衡模型","zh"
"real business cycle model","实际经济周期模型","zh"
"New Keynesian model","新凯恩斯模型","zh"
"rational expectations","理性预期","zh"
"adaptive expectations","适应性预期","zh"
"local projection","局部投影法","zh"
"regression discontinuity design","断点回归设计","zh"
"staggered difference-in-differences","交错实施双重差分","zh"
"parallel trends assumption","平行趋势假设","zh"
"average treatment effect on the treated","处理组平均处理效应","zh"
"sterilized intervention","冲销式干预","zh"
"Lucas critique","卢卡斯批判","zh"
"purchasing managers' index","采购经理指数","zh"
"economic hysteresis","经济滞后效应","zh"
"nowcasting","即时预测","zh"
"Beveridge curve","贝弗里奇曲线","zh"
"term premium","期限溢价","zh"
"neutral real interest rate","中性实际利率","zh"
"output gap uncertainty","产出缺口不确定性","zh"
"unemployment rate","失业率","zh"
"price stickiness","价格黏性","zh"
"local treatment effect","局部处理效应","zh"
"expected return","期望收益率","zh"
"realized return","已实现收益率","zh"
"excess return","超额收益率","zh"
"risk premium","风险溢价","zh"
"yield to maturity","到期收益率","zh"
"duration","久期","zh"
"modified duration","修正久期","zh"
"convexity","凸性","zh"
"term structure","期限结构","zh"
"credit spread","信用利差","zh"
"free cash flow","自由现金流","zh"
"weighted average cost of capital","加权平均资本成本","zh"
"discounted cash flow","现金流折现法","zh"
"enterprise value","企业价值","zh"
"equity value","股权价值","zh"
"book-to-market ratio","账面市值比","zh"
"earnings yield","盈利收益率","zh"
"financial leverage","财务杠杆","zh"
"working capital","营运资本","zh"
"liquidity premium","流动性溢价","zh"
"log return","对数收益率","zh"
"discount factor","贴现因子","zh"
"zero-coupon bond","零息债券","zh"
"coupon rate","票面利率","zh"
"spot rate","即期利率","zh"
"forward rate","远期利率","zh"
"yield curve","收益率曲线","zh"
"basis point","基点","zh"
"percentage point","百分点","zh"
"interest rate swap","利率互换","zh"
"credit default swap","信用违约互换","zh"
"probability of default","违约概率","zh"
"loss given default","违约损失率","zh"
"exposure at default","违约风险暴露","zh"
"expected loss","预期信用损失","zh"
"recovery rate","回收率","zh"
"counterparty risk","交易对手风险","zh"
"strike price","行权价","zh"
"payoff","到期支付","zh"
"call option","看涨期权","zh"
"put option","看跌期权","zh"
"put-call parity","看跌–看涨期权平价","zh"
"in the money","实值","zh"
"at the money","平值","zh"
"out of the money","虚值","zh"
"margin","保证金","zh"
"mark to market","盯市","zh"
"net present value","净现值","zh"
"internal rate of return","内部收益率","zh"
"capital asset pricing model","资本资产定价模型","zh"
"market capitalization","市值","zh"
"earnings per share","每股收益","zh"
"return on equity","净资产收益率","zh"
"return on assets","总资产收益率","zh"
"enterprise value to EBITDA","企业价值倍数","zh"
"face value","面值","zh"
"accrued interest","应计利息","zh"
"clean price","净价","zh"
"dirty price","全价","zh"
"notional principal","名义本金","zh"
"forward contract","远期合约","zh"
"futures contract","期货合约","zh"
"American option","美式期权","zh"
"European option","欧式期权","zh"
"early exercise","提前行权","zh"
"Macaulay duration","麦考利久期","zh"
"effective duration","有效久期","zh"
"dollar value of one basis point","一个基点的美元价值","zh"
"key rate duration","关键利率久期","zh"
"current yield","当期收益率","zh"
"par yield","平价收益率","zh"
"option-adjusted spread","期权调整利差","zh"
"zero-volatility spread","零波动率利差","zh"
"swap spread","互换利差","zh"
"repurchase agreement","回购协议","zh"
"reverse repurchase agreement","逆回购协议","zh"
"haircut","折扣率","zh"
"collateral","抵押品","zh"
"margin call","追加保证金通知","zh"
"floating-rate note","浮动利率票据","zh"
"callable bond","可赎回债券","zh"
"puttable bond","可回售债券","zh"
"senior debt","优先债务","zh"
"subordinated debt","次级债务","zh"
"capital structure","资本结构","zh"
"price-to-earnings ratio","市盈率","zh"
"price-to-book ratio","市净率","zh"
"dividend yield","股息率","zh"
"payout ratio","股利支付率","zh"
"EBITDA margin","EBITDA 利润率","zh"
"earnings before interest and taxes","息税前利润","zh"
"net income","净利润","zh"
"operating cash flow","经营活动现金流","zh"
"free cash flow to firm","企业自由现金流","zh"
"free cash flow to equity","股权自由现金流","zh"
"primary market","一级市场","zh"
"secondary market","二级市场","zh"
"market order","市价单","zh"
"limit order","限价单","zh"
"trade date","交易日","zh"
"settlement date","结算日","zh"
"ex-dividend date","除息日","zh"
"record date","股权登记日","zh"
"short selling","卖空","zh"
"securities lending","证券借贷","zh"
"debt-to-equity ratio","债务权益比","zh"
"interest coverage ratio","利息保障倍数","zh"
"current ratio","流动比率","zh"
"quick ratio","速动比率","zh"
"gross margin","毛利率","zh"
"operating margin","营业利润率","zh"
"net profit margin","净利率","zh"
"return on invested capital","投入资本回报率","zh"
"residual income","剩余收益","zh"
"terminal value","终值","zh"
"perpetuity","永续年金","zh"
"growing perpetuity","增长型永续年金","zh"
"annuity","年金","zh"
"debt covenant","债务契约条款","zh"
"credit rating","信用评级","zh"
"investment grade","投资级","zh"
"high-yield bond","高收益债券","zh"
"default rate","违约率","zh"
"securitization","资产证券化","zh"
"asset-backed security","资产支持证券","zh"
"mortgage-backed security","抵押贷款支持证券","zh"
"collateralized debt obligation","担保债务凭证","zh"
"portfolio","投资组合","zh"
"money-weighted rate of return","资金加权收益率","zh"
"time-weighted rate of return","时间加权收益率","zh"
"bank discount yield","银行贴现收益率","zh"
"effective annual rate","有效年利率","zh"
"accrual accounting","权责发生制会计","zh"
"deferred tax asset","递延所得税资产","zh"
"deferred tax liability","递延所得税负债","zh"
"valuation allowance","估值备抵","zh"
"first-in first-out","先进先出法","zh"
"last-in first-out","后进先出法","zh"
"inventory turnover","存货周转率","zh"
"days sales outstanding","应收账款周转天数","zh"
"goodwill","商誉","zh"
"impairment loss","减值损失","zh"
"capitalization of costs","成本资本化","zh"
"expensing","费用化","zh"
"operating lease","经营租赁","zh"
"finance lease","融资租赁","zh"
"defined benefit plan","设定受益计划","zh"
"defined contribution plan","设定提存计划","zh"
"basic earnings per share","基本每股收益","zh"
"diluted earnings per share","稀释每股收益","zh"
"quality of earnings","盈利质量","zh"
"cash conversion cycle","现金转换周期","zh"
"DuPont analysis","杜邦分析","zh"
"common-size financial statement","共同比财务报表","zh"
"horizontal analysis","水平分析","zh"
"vertical analysis","垂直分析","zh"
"non-controlling interest","非控股权益","zh"
"capital budgeting","资本预算","zh"
"agency conflict","代理冲突","zh"
"corporate governance","公司治理","zh"
"sustainable growth rate","可持续增长率","zh"
"dividend discount model","股利折现模型","zh"
"Gordon growth model","戈登增长模型","zh"
"justified price-to-earnings ratio","合理市盈率","zh"
"residual income model","剩余收益模型","zh"
"sum-of-the-parts valuation","分部加总估值法","zh"
"control premium","控制权溢价","zh"
"minority discount","少数股权折价","zh"
"discount for lack of marketability","缺乏流动性折价","zh"
"matrix pricing","矩阵定价法","zh"
"government spread","政府债券利差","zh"
"interpolated spread","插值利差","zh"
"embedded option","嵌入期权","zh"
"sinking fund provision","偿债基金条款","zh"
"convertible bond","可转换债券","zh"
"credit enhancement","信用增级","zh"
"structural subordination","结构性次级","zh"
"private equity","私募股权","zh"
"private debt","私募债权","zh"
"venture capital","风险投资","zh"
"buyout","并购型投资","zh"
"leveraged buyout","杠杆收购","zh"
"general partner","普通合伙人","zh"
"limited partner","有限合伙人","zh"
"committed capital","承诺资本","zh"
"called capital","实缴调用资本","zh"
"capital distribution","资本分配","zh"
"carried interest","业绩报酬","zh"
"management fee","管理费","zh"
"performance fee","业绩报酬费","zh"
"hurdle rate","门槛收益率","zh"
"catch-up provision","追赶条款","zh"
"clawback provision","回拨条款","zh"
"vintage year","基金年份","zh"
"J-curve","J 曲线效应","zh"
"net asset value","资产净值","zh"
"distributed to paid-in capital","已分配资本倍数","zh"
"residual value to paid-in capital","剩余价值倍数","zh"
"total value to paid-in capital","总价值倍数","zh"
"net operating income","净营业收入","zh"
"capitalization rate","资本化率","zh"
"real estate investment trust","房地产投资信托基金","zh"
"infrastructure investment","基础设施投资","zh"
"high-water mark","高水位线","zh"
"fund of funds","基金中的基金","zh"
"investment policy statement","投资政策说明书","zh"
"risk capacity","风险承受能力","zh"
"strategic asset allocation","战略资产配置","zh"
"tactical asset allocation","战术资产配置","zh"
"portfolio rebalancing","投资组合再平衡","zh"
"active management","主动管理","zh"
"passive management","被动管理","zh"
"active share","主动份额","zh"
"performance attribution","业绩归因","zh"
"allocation effect","配置效应","zh"
"selection effect","选择效应","zh"
"interaction effect","交互效应","zh"
"market-capitalization-weighted index","市值加权指数","zh"
"equal-weighted index","等权重指数","zh"
"fundamentally weighted index","基本面加权指数","zh"
"loss aversion","损失厌恶","zh"
"overconfidence bias","过度自信偏差","zh"
"anchoring bias","锚定偏差","zh"
"confirmation bias","确认偏差","zh"
"mental accounting","心理账户","zh"
"framing bias","框架效应偏差","zh"
"availability bias","易得性偏差","zh"
"representativeness bias","代表性偏差","zh"
"herding behavior","羊群行为","zh"
"status quo bias","现状偏差","zh"
"endowment effect","禀赋效应","zh"
"expected credit loss","预期信用损失","zh"
"lifetime expected credit loss","整个存续期预期信用损失","zh"
"12-month expected credit loss","12 个月预期信用损失","zh"
"significant increase in credit risk","信用风险显著增加","zh"
"other comprehensive income","其他综合收益","zh"
"reclassification adjustment","重分类调整","zh"
"amortised cost","摊余成本","zh"
"effective interest method","实际利率法","zh"
"fair value through profit or loss","以公允价值计量且其变动计入当期损益","zh"
"solely payments of principal and interest","仅为本金和利息的支付","zh"
"business model test","业务模式测试","zh"
"fair value through other comprehensive income","以公允价值计量且其变动计入其他综合收益","zh"
"credit-adjusted effective interest rate","经信用调整的实际利率","zh"
"contractual cash flows","合同现金流","zh"
"purchased or originated credit-impaired financial asset","购入或源生的已发生信用减值的金融资产","zh"
"reinvestment risk","再投资风险","zh"
"interest expense","利息费用","zh"
"eigenvalue","特征值","zh"
"eigenvector","特征向量","zh"
"singular value decomposition","奇异值分解","zh"
"positive semidefinite","半正定","zh"
"orthogonal projection","正交投影","zh"
"convex optimization","凸优化","zh"
"Lagrange multiplier","拉格朗日乘子","zh"
"Karush-Kuhn-Tucker conditions","KKT 条件","zh"
"necessary condition","必要条件","zh"
"sufficient condition","充分条件","zh"
"partial derivative","偏导数","zh"
"gradient","梯度","zh"
"Hessian matrix","海森矩阵","zh"
"Lebesgue integral","勒贝格积分","zh"
"measurable function","可测函数","zh"
"almost surely","几乎必然","zh"
"stochastic process","随机过程","zh"
"martingale","鞅","zh"
"Brownian motion","布朗运动","zh"
"Itô's lemma","伊藤引理","zh"
"stochastic differential equation","随机微分方程","zh"
"partial differential equation","偏微分方程","zh"
"ordinary differential equation","常微分方程","zh"
"Wiener process","维纳过程","zh"
"geometric Brownian motion","几何布朗运动","zh"
"arithmetic Brownian motion","算术布朗运动","zh"
"drift term","漂移项","zh"
"diffusion coefficient","扩散系数","zh"
"quadratic variation","二次变差","zh"
"quadratic covariation","二次协变差","zh"
"filtration","滤过","zh"
"adapted process","适应过程","zh"
"stopping time","停时","zh"
"local martingale","局部鞅","zh"
"supermartingale","上鞅","zh"
"submartingale","下鞅","zh"
"Itô isometry","伊藤等距公式","zh"
"Girsanov theorem","吉尔萨诺夫定理","zh"
"Radon-Nikodym derivative","拉东–尼科迪姆导数","zh"
"Feynman-Kac formula","费曼–卡茨公式","zh"
"Ornstein-Uhlenbeck process","奥恩斯坦–乌伦贝克过程","zh"
"Poisson process","泊松过程","zh"
"jump diffusion","跳跃扩散","zh"
"strong solution","强解","zh"
"weak solution","弱解","zh"
"Euler-Maruyama scheme","欧拉–丸山格式","zh"
"finite difference method","有限差分法","zh"
"boundary condition","边界条件","zh"
"measure","测度","zh"
"positive definite","正定","zh"
"Cholesky decomposition","乔列斯基分解","zh"
"condition number","条件数","zh"
"convergence in probability","依概率收敛","zh"
"convergence in distribution","依分布收敛","zh"
"sigma-algebra","σ-代数","zh"
"probability space","概率空间","zh"
"sample path","样本路径","zh"
"Markov property","马尔可夫性质","zh"
"infinitesimal generator","无穷小生成元","zh"
"Itô integral","伊藤积分","zh"
"Stratonovich integral","斯特拉托诺维奇积分","zh"
"semimartingale","半鞅","zh"
"finite variation process","有限变差过程","zh"
"optional stopping theorem","可选停时定理","zh"
"strong Markov property","强马尔可夫性质","zh"
"integrable random variable","可积随机变量","zh"
"square-integrable","平方可积","zh"
"Taylor expansion","泰勒展开","zh"
"Jacobian matrix","雅可比矩阵","zh"
"matrix transpose","矩阵转置","zh"
"matrix inverse","矩阵逆","zh"
"matrix rank","矩阵秩","zh"
"determinant","行列式","zh"
"operator norm","算子范数","zh"
"spectral radius","谱半径","zh"
"Lipschitz continuity","利普希茨连续性","zh"
"weak convergence","弱收敛","zh"
"almost everywhere","几乎处处","zh"
"Borel sigma-algebra","博雷尔 σ-代数","zh"
"probability measure","概率测度","zh"
"absolutely continuous measure","绝对连续测度","zh"
"equivalent measures","等价测度","zh"
"null set","零测集","zh"
"support of a measure","测度的支撑","zh"
"expected value","期望值","zh"
"moment-generating function","矩母函数","zh"
"characteristic function","特征函数","zh"
"Fourier transform","傅里叶变换","zh"
"Laplace transform","拉普拉斯变换","zh"
"convolution","卷积","zh"
"Banach space","巴拿赫空间","zh"
"Hilbert space","希尔伯特空间","zh"
"inner product","内积","zh"
"orthonormal basis","标准正交基","zh"
"linear operator","线性算子","zh"
"adjoint operator","伴随算子","zh"
"eigendecomposition","特征分解","zh"
"matrix exponential","矩阵指数","zh"
"matrix trace","矩阵的迹","zh"
"Frobenius norm","弗罗贝尼乌斯范数","zh"
"Dirichlet boundary condition","狄利克雷边界条件","zh"
"Neumann boundary condition","诺伊曼边界条件","zh"
"terminal condition","终端条件","zh"
"weak derivative","弱导数","zh"
"Sobolev space","索伯列夫空间","zh"
"contraction mapping","压缩映射","zh"
"Banach fixed-point theorem","巴拿赫不动点定理","zh"
"dominated convergence theorem","控制收敛定理","zh"
"Fubini's theorem","富比尼定理","zh"
"Jensen's inequality","詹森不等式","zh"
"Itô product rule","伊藤乘积法则","zh"
"Doob's martingale inequality","杜布鞅不等式","zh"
"Grönwall's inequality","格朗沃尔不等式","zh"
"predictable process","可预测过程","zh"
"progressively measurable process","逐步可测过程","zh"
"Lévy process","莱维过程","zh"
"Lévy measure","莱维测度","zh"
"compensated Poisson process","补偿泊松过程","zh"
"Brownian bridge","布朗桥","zh"
"reflection principle","反射原理","zh"
"Kolmogorov backward equation","柯尔莫哥洛夫后向方程","zh"
"Kolmogorov forward equation","柯尔莫哥洛夫前向方程","zh"
"Fokker-Planck equation","福克–普朗克方程","zh"
"Hamilton-Jacobi-Bellman equation","汉密尔顿–雅可比–贝尔曼方程","zh"
"backward stochastic differential equation","倒向随机微分方程","zh"
"stochastic control","随机控制","zh"
"optimal stopping","最优停止","zh"
"free-boundary problem","自由边界问题","zh"
"viscosity solution","黏性解","zh"
"Green's function","格林函数","zh"
"fundamental solution","基本解","zh"
"heat equation","热方程","zh"
"elliptic partial differential equation","椭圆型偏微分方程","zh"
"parabolic partial differential equation","抛物型偏微分方程","zh"
"hyperbolic partial differential equation","双曲型偏微分方程","zh"
"finite element method","有限元法","zh"
"explicit scheme","显式格式","zh"
"implicit scheme","隐式格式","zh"
"Crank-Nicolson scheme","克兰克–尼科尔森格式","zh"
"Courant-Friedrichs-Lewy condition","库朗–弗里德里希斯–列维条件","zh"
"consistency of a numerical scheme","数值格式的一致性","zh"
"stability of a numerical scheme","数值格式的稳定性","zh"
"order of convergence","收敛阶","zh"
"convex set","凸集","zh"
"convex function","凸函数","zh"
"strictly convex function","严格凸函数","zh"
"subgradient","次梯度","zh"
"convex conjugate","凸共轭","zh"
"primal problem","原问题","zh"
"dual problem","对偶问题","zh"
"weak duality","弱对偶","zh"
"strong duality","强对偶","zh"
"Slater's condition","斯莱特条件","zh"
"complementary slackness","互补松弛条件","zh"
"Markov process","马尔可夫过程","zh"
"lognormal random walk","对数正态随机游走","zh"
"transition density function","转移密度函数","zh"
"backward difference","后向差分","zh"
"forward difference","前向差分","zh"
"central difference","中心差分","zh"
"von Neumann stability analysis","冯·诺依曼稳定性分析","zh"
"Douglas scheme","道格拉斯格式","zh"
"uniform random variate","均匀随机变量样本","zh"
"non-uniform random variate","非均匀随机变量样本","zh"
"radial basis function","径向基函数","zh"
"Gershgorin circle theorem","格尔什戈林圆盘定理","zh"
"Newton-Raphson method","牛顿–拉夫森法","zh"
"bisection method","二分法","zh"
"trapezoidal rule","梯形求积公式","zh"
"Simpson rule","辛普森求积公式","zh"
"Runge-Kutta method","龙格–库塔法","zh"
"LU decomposition","LU 分解","zh"
"successive over-relaxation","逐次超松弛法","zh"
"cubic spline","三次样条","zh"
"strict local martingale","严格局部鞅","zh"
"uniform integrability","一致可积性","zh"
"Novikov condition","诺维科夫条件","zh"
"strong convergence","强收敛","zh"
"absorbing boundary","吸收边界","zh"
"reflecting boundary","反射边界","zh"
"forward error","前向误差","zh"
"backward error","后向误差","zh"
"backward stability","后向稳定性","zh"
"well-posed problem","适定问题","zh"
"Lévy characterization theorem","莱维刻画定理","zh"
"Doob-Meyer decomposition","杜布–迈耶分解","zh"
"mild solution","温和解","zh"
"coercivity","强制性","zh"
"Fréchet derivative","弗雷歇导数","zh"
"almost sure convergence","几乎必然收敛","zh"
"nonlinear partial differential equation","非线性偏微分方程","zh"
"classical solution","经典解","zh"
"complete metric space","完备度量空间","zh"
"matrix norm","矩阵范数","zh"
"strong order of convergence","强收敛阶","zh"
"weak order of convergence","弱收敛阶","zh"
"return value","返回值","zh"
"class","类","zh"
"race condition","竞态条件","zh"
"deadlock","死锁","zh"
"thread safety","线程安全","zh"
"dependency injection","依赖注入","zh"
"runtime","运行时","zh"
"compile time","编译期","zh"
"garbage collection","垃圾回收","zh"
"memory leak","内存泄漏","zh"
"stack trace","堆栈跟踪","zh"
"exception handling","异常处理","zh"
"asynchronous programming","异步编程","zh"
"event loop","事件循环","zh"
"time complexity","时间复杂度","zh"
"space complexity","空间复杂度","zh"
"binary search tree","二叉搜索树","zh"
"application programming interface","应用程序编程接口","zh"
"continuous integration","持续集成","zh"
"version control","版本控制","zh"
"yield","产出","zh"
"closure","闭包","zh"
"decorator","装饰器","zh"
"iterator","迭代器","zh"
"generator","生成器","zh"
"coroutine","协程","zh"
"concurrency","并发","zh"
"parallelism","并行","zh"
"vectorization","向量化","zh"
"broadcasting","广播","zh"
"automatic differentiation","自动微分","zh"
"backpropagation","反向传播","zh"
"gradient descent","梯度下降","zh"
"stochastic gradient descent","随机梯度下降","zh"
"learning rate","学习率","zh"
"batch size","批量大小","zh"
"epoch","训练轮次","zh"
"tensor","张量","zh"
"serialization","序列化","zh"
"idempotency","幂等性","zh"
"numerical stability","数值稳定性","zh"
"floating-point error","浮点误差","zh"
"random seed","随机种子","zh"
"return statement","返回语句","zh"
"type annotation","类型注解","zh"
"type inference","类型推断","zh"
"mutable object","可变对象","zh"
"immutable object","不可变对象","zh"
"data frame","数据框","zh"
"unit test","单元测试","zh"
"integration test","集成测试","zh"
"test fixture","测试夹具","zh"
"mock object","模拟对象","zh"
"virtual environment","虚拟环境","zh"
"package manager","包管理器","zh"
"dependency resolution","依赖解析","zh"
"command-line interface","命令行界面","zh"
"API endpoint","API 端点","zh"
"JSON schema","JSON 模式","zh"
"rate limiting","速率限制","zh"
"retry policy","重试策略","zh"
"exponential backoff","指数退避","zh"
"cache invalidation","缓存失效","zh"
"database transaction","数据库事务","zh"
"atomic operation","原子操作","zh"
"abstract syntax tree","抽象语法树","zh"
"just-in-time compilation","即时编译","zh"
"global interpreter lock","全局解释器锁","zh"
"multiprocessing","多进程","zh"
"memory allocation","内存分配","zh"
"buffer overflow","缓冲区溢出","zh"
"context manager","上下文管理器","zh"
"iterable","可迭代对象","zh"
"iterator protocol","迭代器协议","zh"
"asynchronous generator","异步生成器","zh"
"awaitable","可等待对象","zh"
"data race","数据竞争","zh"
"mutual exclusion lock","互斥锁","zh"
"semaphore","信号量","zh"
"shared memory","共享内存","zh"
"CPython","CPython","zh"
"list comprehension","列表推导式","zh"
"lambda function","匿名函数","zh"
"inheritance","继承","zh"
"polymorphism","多态","zh"
"encapsulation","封装","zh"
"composition","组合","zh"
"duck typing","鸭子类型","zh"
"static typing","静态类型","zh"
"dynamic typing","动态类型","zh"
"hash table","哈希表","zh"
