source,target,tgt_lng
"margin","保证金","zh"
"mark to market","盯市","zh"
"net present value","净现值","zh"
"internal rate of return","内部收益率","zh"
"capital asset pricing model","资本资产定价模型","zh"
"market capitalization","市值","zh"
"earnings per share","每股收益","zh"
"return on equity","净资产收益率","zh"
"return on assets","总资产收益率","zh"
"enterprise value to EBITDA","企业价值倍数","zh"
"face value","面值","zh"
"accrued interest","应计利息","zh"
"clean price","净价","zh"
"dirty price","全价","zh"
"notional principal","名义本金","zh"
"forward contract","远期合约","zh"
"futures contract","期货合约","zh"
"American option","美式期权","zh"
"European option","欧式期权","zh"
"early exercise","提前行权","zh"
"eigenvalue","特征值","zh"
"eigenvector","特征向量","zh"
"singular value decomposition","奇异值分解","zh"
"positive semidefinite","半正定","zh"
"orthogonal projection","正交投影","zh"
"convex optimization","凸优化","zh"
"Lagrange multiplier","拉格朗日乘子","zh"
"Karush-Kuhn-Tucker conditions","KKT 条件","zh"
"necessary condition","必要条件","zh"
"sufficient condition","充分条件","zh"
"partial derivative","偏导数","zh"
"gradient","梯度","zh"
"Hessian matrix","海森矩阵","zh"
"Lebesgue integral","勒贝格积分","zh"
"measurable function","可测函数","zh"
"almost surely","几乎必然","zh"
"stochastic process","随机过程","zh"
"martingale","鞅","zh"
"Brownian motion","布朗运动","zh"
"Itô's lemma","伊藤引理","zh"
"stochastic differential equation","随机微分方程","zh"
"partial differential equation","偏微分方程","zh"
"ordinary differential equation","常微分方程","zh"
"Wiener process","维纳过程","zh"
"geometric Brownian motion","几何布朗运动","zh"
"arithmetic Brownian motion","算术布朗运动","zh"
"drift term","漂移项","zh"
"diffusion coefficient","扩散系数","zh"
"quadratic variation","二次变差","zh"
"quadratic covariation","二次协变差","zh"
"filtration","滤过","zh"
"adapted process","适应过程","zh"
"stopping time","停时","zh"
"local martingale","局部鞅","zh"
"supermartingale","上鞅","zh"
"submartingale","下鞅","zh"
"Itô isometry","伊藤等距公式","zh"
"Girsanov theorem","吉尔萨诺夫定理","zh"
"Radon-Nikodym derivative","拉东–尼科迪姆导数","zh"
"Feynman-Kac formula","费曼–卡茨公式","zh"
"Ornstein-Uhlenbeck process","奥恩斯坦–乌伦贝克过程","zh"
"Poisson process","泊松过程","zh"
"jump diffusion","跳跃扩散","zh"
"strong solution","强解","zh"
"weak solution","弱解","zh"
"Euler-Maruyama scheme","欧拉–丸山格式","zh"
"finite difference method","有限差分法","zh"
"boundary condition","边界条件","zh"
"measure","测度","zh"
"positive definite","正定","zh"
"Cholesky decomposition","乔列斯基分解","zh"
"condition number","条件数","zh"
"convergence in probability","依概率收敛","zh"
"convergence in distribution","依分布收敛","zh"
"sigma-algebra","σ-代数","zh"
"probability space","概率空间","zh"
"sample path","样本路径","zh"
"Markov property","马尔可夫性质","zh"
"infinitesimal generator","无穷小生成元","zh"
"Itô integral","伊藤积分","zh"
"Stratonovich integral","斯特拉托诺维奇积分","zh"
"semimartingale","半鞅","zh"
"finite variation process","有限变差过程","zh"
"optional stopping theorem","可选停时定理","zh"
"strong Markov property","强马尔可夫性质","zh"
"integrable random variable","可积随机变量","zh"
"square-integrable","平方可积","zh"
"Taylor expansion","泰勒展开","zh"
"Jacobian matrix","雅可比矩阵","zh"
"matrix transpose","矩阵转置","zh"
"matrix inverse","矩阵逆","zh"
"matrix rank","矩阵秩","zh"
"determinant","行列式","zh"
"operator norm","算子范数","zh"
"spectral radius","谱半径","zh"
"Lipschitz continuity","利普希茨连续性","zh"
"weak convergence","弱收敛","zh"
"almost everywhere","几乎处处","zh"
"return value","返回值","zh"
"class","类","zh"
"race condition","竞态条件","zh"
"deadlock","死锁","zh"
"thread safety","线程安全","zh"
"dependency injection","依赖注入","zh"
"runtime","运行时","zh"
"compile time","编译期","zh"
"garbage collection","垃圾回收","zh"
"memory leak","内存泄漏","zh"
"stack trace","堆栈跟踪","zh"
"exception handling","异常处理","zh"
"asynchronous programming","异步编程","zh"
"event loop","事件循环","zh"
"time complexity","时间复杂度","zh"
"space complexity","空间复杂度","zh"
"binary search tree","二叉搜索树","zh"
"application programming interface","应用程序编程接口","zh"
"continuous integration","持续集成","zh"
"version control","版本控制","zh"
"yield","产出","zh"
"closure","闭包","zh"
"decorator","装饰器","zh"
"iterator","迭代器","zh"
"generator","生成器","zh"
"coroutine","协程","zh"
"concurrency","并发","zh"
"parallelism","并行","zh"
"vectorization","向量化","zh"
"broadcasting","广播","zh"
"automatic differentiation","自动微分","zh"
"backpropagation","反向传播","zh"
"gradient descent","梯度下降","zh"
"stochastic gradient descent","随机梯度下降","zh"
"learning rate","学习率","zh"
"batch size","批量大小","zh"
"epoch","训练轮次","zh"
"tensor","张量","zh"
"serialization","序列化","zh"
"idempotency","幂等性","zh"
"numerical stability","数值稳定性","zh"
"floating-point error","浮点误差","zh"
"random seed","随机种子","zh"
"return statement","返回语句","zh"
"type annotation","类型注解","zh"
"type inference","类型推断","zh"
"mutable object","可变对象","zh"
"immutable object","不可变对象","zh"
"data frame","数据框","zh"
"unit test","单元测试","zh"
"integration test","集成测试","zh"
"test fixture","测试夹具","zh"
"mock object","模拟对象","zh"
"virtual environment","虚拟环境","zh"
"package manager","包管理器","zh"
"dependency resolution","依赖解析","zh"
"command-line interface","命令行界面","zh"
"API endpoint","API 端点","zh"
"JSON schema","JSON 模式","zh"
"rate limiting","速率限制","zh"
"retry policy","重试策略","zh"
"exponential backoff","指数退避","zh"
"cache invalidation","缓存失效","zh"
"database transaction","数据库事务","zh"
"atomic operation","原子操作","zh"
"abstract syntax tree","抽象语法树","zh"
"just-in-time compilation","即时编译","zh"
"global interpreter lock","全局解释器锁","zh"
"multiprocessing","多进程","zh"
"memory allocation","内存分配","zh"
"buffer overflow","缓冲区溢出","zh"
"factor exposure","因子暴露","zh"
"factor loading","因子载荷","zh"
"alpha","阿尔法","zh"
"beta","贝塔","zh"
"tracking error","跟踪误差","zh"
"information ratio","信息比率","zh"
"Sharpe ratio","夏普比率","zh"
"Sortino ratio","索提诺比率","zh"
"maximum drawdown","最大回撤","zh"
"value at risk","风险价值","zh"
"expected shortfall","预期损失","zh"
"backtest","回测","zh"
"look-ahead bias","前视偏差","zh"
"survivorship bias","幸存者偏差","zh"
"data snooping","数据窥探","zh"
"overfitting","过拟合","zh"
"turnover","换手率","zh"
"slippage","滑点","zh"
"transaction cost","交易成本","zh"
"market neutral","市场中性","zh"
"dollar neutral","资金中性","zh"
"rebalancing","再平衡","zh"
"out-of-sample","样本外","zh"
"walk-forward analysis","滚动前向分析","zh"
"risk-neutral measure","风险中性测度","zh"
"physical measure","真实概率测度","zh"
"equivalent martingale measure","等价鞅测度","zh"
"change of numeraire","计价基准变换","zh"
"numeraire","计价基准","zh"
"no-arbitrage pricing","无套利定价","zh"
"replicating portfolio","复制组合","zh"
"self-financing strategy","自融资策略","zh"
"complete market","完备市场","zh"
"Black-Scholes-Merton model","布莱克–斯科尔斯–默顿模型","zh"
"delta hedging","Delta 对冲","zh"
"delta","Delta","zh"
"gamma","Gamma","zh"
"vega","Vega","zh"
"theta","Theta","zh"
"rho","Rho","zh"
"implied volatility","隐含波动率","zh"
"realized volatility","已实现波动率","zh"
"local volatility","局部波动率","zh"
"stochastic volatility","随机波动率","zh"
"volatility smile","波动率微笑","zh"
"volatility skew","波动率偏斜","zh"
"Heston model","赫斯顿模型","zh"
"Monte Carlo simulation","蒙特卡洛模拟","zh"
"variance reduction","方差缩减","zh"
"antithetic variates","对偶变量","zh"
"control variates","控制变量法","zh"
"credit valuation adjustment","信用估值调整","zh"
"wrong-way risk","错向风险","zh"
"potential future exposure","潜在未来敞口","zh"
"expected exposure","期望敞口","zh"
"information coefficient","信息系数","zh"
"data leakage","数据泄漏","zh"
"purged cross-validation","剔除重叠样本的交叉验证","zh"
"embargo period","隔离期","zh"
"market impact","市场冲击","zh"
"limit order book","限价订单簿","zh"
"bid-ask spread","买卖价差","zh"
"stochastic discount factor","随机贴现因子","zh"
"market price of risk","风险的市场价格","zh"
"martingale representation theorem","鞅表示定理","zh"
"fundamental theorem of asset pricing","资产定价基本定理","zh"
"mean-variance optimization","均值–方差优化","zh"
"efficient frontier","有效前沿","zh"
"minimum variance portfolio","最小方差组合","zh"
"risk parity","风险平价","zh"
"marginal contribution to risk","边际风险贡献","zh"
"component contribution to risk","成分风险贡献","zh"
"covariance shrinkage","协方差收缩估计","zh"
"factor neutralization","因子中性化","zh"
"cross-sectional regression","横截面回归","zh"
"rank information coefficient","秩信息系数","zh"
"information coefficient information ratio","信息系数信息比率","zh"
"winsorization","缩尾处理","zh"
"z-score standardization","Z 分数标准化","zh"
"signal decay","信号衰减","zh"
"half-life","半衰期","zh"
"strategy capacity","策略容量","zh"
"profit and loss","损益","zh"
"path-dependent option","路径依赖期权","zh"
"barrier option","障碍期权","zh"
"risk reversal","风险逆转","zh"
"basis risk","基差风险","zh"
"liquidity horizon","流动性期限","zh"
"jump-to-default risk","跳跃至违约风险","zh"
"non-modellable risk factor","不可建模风险因子","zh"
"curvature risk","曲率风险","zh"
"statistical power","统计功效","zh"
"null hypothesis","原假设","zh"
"alternative hypothesis","备择假设","zh"
"p-value","p 值","zh"
"type I error","第一类错误","zh"
"type II error","第二类错误","zh"
"unbiased estimator","无偏估计量","zh"
"consistent estimator","一致估计量","zh"
"confidence interval","置信区间","zh"
"maximum likelihood estimation","最大似然估计","zh"
"ordinary least squares","普通最小二乘法","zh"
"heteroskedasticity","异方差性","zh"
"multicollinearity","多重共线性","zh"
"autocorrelation","自相关","zh"
"stationary process","平稳过程","zh"
"unit root","单位根","zh"
"cointegration","协整","zh"
"central limit theorem","中心极限定理","zh"
"law of large numbers","大数定律","zh"
"Bayesian posterior","贝叶斯后验分布","zh"
"prediction interval","预测区间","zh"
"credible interval","可信区间","zh"
"estimator","估计量","zh"
"estimate","估计值","zh"
"standard error","标准误","zh"
"standard deviation","标准差","zh"
"bias","偏差","zh"
"likelihood","似然","zh"
"log-likelihood","对数似然","zh"
"score function","得分函数","zh"
"Fisher information","费舍尔信息","zh"
"sufficient statistic","充分统计量","zh"
"identifiability","可识别性","zh"
"bootstrap","自助法","zh"
"jackknife","刀切法","zh"
"cross-validation","交叉验证","zh"
"multiple testing","多重检验","zh"
"false discovery rate","错误发现率","zh"
"effect size","效应量","zh"
"statistical significance","统计显著性","zh"
"residual","残差","zh"
"error term","误差项","zh"
"conditional expectation","条件期望","zh"
"covariance matrix","协方差矩阵","zh"
"heavy-tailed distribution","重尾分布","zh"
"skewness","偏度","zh"
"excess kurtosis","超额峰度","zh"
"weak stationarity","弱平稳性","zh"
"strict stationarity","严格平稳性","zh"
"generalized autoregressive conditional heteroskedasticity","广义自回归条件异方差","zh"
"principal component analysis","主成分分析","zh"
"Markov chain Monte Carlo","马尔可夫链蒙特卡洛","zh"
"regularization","正则化","zh"
"random variable","随机变量","zh"
"probability mass function","概率质量函数","zh"
"probability density function","概率密度函数","zh"
"cumulative distribution function","累积分布函数","zh"
"independent and identically distributed","独立同分布","zh"
"conditional distribution","条件分布","zh"
"joint distribution","联合分布","zh"
"marginal distribution","边际分布","zh"
"correlation coefficient","相关系数","zh"
"sampling distribution","抽样分布","zh"
"degrees of freedom","自由度","zh"
"likelihood ratio test","似然比检验","zh"
"Wald test","沃尔德检验","zh"
"Lagrange multiplier test","拉格朗日乘子检验","zh"
"heteroskedasticity-consistent standard error","异方差稳健标准误","zh"
"cluster-robust standard error","聚类稳健标准误","zh"
"Newey-West standard error","纽维–韦斯特标准误","zh"
"maximum a posteriori estimation","最大后验估计","zh"
"posterior predictive distribution","后验预测分布","zh"
"Bayes factor","贝叶斯因子","zh"
"Granger causality","格兰杰因果关系","zh"
"vector autoregression","向量自回归","zh"
"impulse response function","脉冲响应函数","zh"
"variance decomposition","方差分解","zh"
